booking id,booking_date_time,gender,month,day_of_week,time_of_day,distance_travelled,time_taken,reason,toll,category,commission_base_cost,driver_base_cost,total_tax,total_trip_cost,ratings
1890061540,5/29/18 22:04,Male,May,Tue,10:04:00 PM,17,58,Office to/from Home,0,Mini,57.73,230.91,21.94,311,3
1542148932,2/22/18 22:12,Female,February,Thu,10:12:00 PM,18,43,Late Night Ride,0,Mini,52.04,208.16,19.76,279.96,5
1672692603,4/4/18 21:11,Female,April,Wed,09:11:00 PM,2,5,Office to/from Home,0,Prime,19.7,78.81,7.49,106,5
1925600201,6/7/18 22:23,Female,June,Thu,10:23:00 PM,15,49,Office to/from Home,35,Micro,51.24,239.96,21.22,312,5
1530845664,2/19/18 11:31,Male,February,Mon,11:31:00 AM,46,0,Office Event,0,Prime Rentals,195.92,783.68,74.45,1054.05,4
1773316272,4/30/18 21:24,Male,April,Mon,09:24:00 PM,30,91,Office to/from Home,35,Micro,132.71,565.86,52.18,751,4
1602927461,3/14/18 1:56,Male,March,Wed,01:56:00 AM,4,4,Office to/from Home,0,Micro,19.44,77.74,7.39,104.57,3
1915119412,6/5/18 3:16,Male,June,Tue,03:16:00 AM,5,18,Office to/from Home,0,Micro,0,67.88,4.16,72,5
1793413698,5/6/18 1:23,Female,May,Sun,01:23:00 AM,3,4,Office to/from Home,0,Mini,19.52,78.06,7.41,105,4
1870703124,5/25/18 1:24,Male,May,Fri,01:24:00 AM,4,4,Office to/from Home,0,Micro,15.88,63.52,6.04,85,4
1539201134,2/21/18 22:38,Male,February,Wed,10:38:00 PM,5,25,Office to/from Home,0,Micro,23.02,92.08,8.74,123.84,5
1644393205,3/27/18 6:49,Male,March,Tue,06:49:00 AM,62,98,Office Event,35,Mini,193.66,809.66,75.34,1079,4
1908175658,6/3/18 16:38,Male,June,Sun,04:38:00 PM,21,71,Other,0,Prime Play,120.34,353.02,39.32,513,5
1390900760,1/4/18 12:13,Male,January,Thu,12:13:00 PM,6,29,Customer/Partner Visit,0,Micro,28.75,115,10.93,155,5
1784780679,5/3/18 21:33,Male,May,Thu,09:33:00 PM,5,29,Office to/from Home,0,Mini,34.14,136.54,12.96,184,4
1805478949,5/8/18 23:22,Male,May,Tue,11:22:00 PM,24,55,Late Night Ride,0,Mini,100.48,401.92,38.18,541,3
1539270023,2/21/18 23:32,Male,February,Wed,11:32:00 PM,12,34,Office to/from Home,0,Micro,35.6,142.4,13.53,191.53,4
